'bout|bao 
datapoint|đết tơ poi 
datapoint|đết tơ poi 
datapoint's|đết tơ poi  n
datapoint's|đết tơ poi  n
datapoints|đết tơ poi  n
datapoints|đết tơ poi  n
datapower|đết tơ pao 
datapower|đết tơ pao 
dataproducts|đết tớp ra đắc
dataproducts'|đết tớp ro đắc
dataproducts'|đết tớp ro đắc
dataquest|đết tớc guét
dataquest|đết tớc guét
dataquest's|đết tớc guét
dataquest's|đết tớc guét
dataram|đết tơ ram
dataram|đết tơ ram
datarex|đết tơ réc
datarex|đết tơ réc
datas|đết tơ
datas|đết tơ
dataset|đết tơ xét
datasets|đết tơ xét
date|đết
date's|đết
dated|đết tít
datek|đa téc
dateline|đết lai 
dateline's|đết lai 
datelines|đết lai 
dates|đết
datext|đa téc
dating|đết ting
dato|đa tâu 
datron|đátrừn
dats|đát
datsun|đát xừn
datsun|đát xừn
datsun's|đát xừn
datsun's|đát xừn
dattilio|đa ti li âu 
dattilo|đa ti lâu 
datuk|đa túc
datum|đa tơm
datum|đa tơm
datura|đơ tu rơ
datz|đát
dau|đâu 
daub|đóp
daube|đóp
daubed|đóp
daubenspeck|đao  bin xờ píc
dauber|đao  bơ
daubert|đao  bớt
dauch|đao 
daudelin|đâu đi lan
dauenhauer|đao  ơn hao  ơ
dauer|đao  ơ
daufuskie|đâu phớt ki
daughdrill|đót riu
daughenbaugh|đo en bo
daugherty|đa cơ ti
daughety|đoi  ti
daughney|đo ni
daughter|đo tơ
daughter's|đo tơ
daughter-in-law|đo tơ rin lo
daughters|đo tơ
daughters'|đo tơ
daughters-in-law|đo tơ din lo
daughtery|đo tơ ri
daughton|đo từn
daughtrey|đótri
daughtridge|đótri
daughtry|đótri
daul|đon
dault|đon
daulton|đon từn
daum|đom
daun|đon
daunt|đon
daunted|đon tít
daunting|đon ting
dauphin|đao  phin
dauphinais|đâu phi nây 
dauphinee|đo phi ni
dauria|đo ri ơ
daus|đo
dauster|đao  xờ tơ
dauterive|đâu tơ ríp
dauzat|đao  dớt
davalos|đa va lâu
davanzo|đơ van dâu 
davao|đơ vâu 
davao|đơ vâu 
davault|đơ vâu 
davco|đáp câu 
dave|đây
dave's|đây
davee|đa vi
davenport|đa vừn pót
davenport's|đa vừn pótx
davern|đa vừn
daversa|đa ve xơ
daves|đây
davey|đây vi
davi|đa vi
davia|đa vi ơ
david|đây vít
david's|đây vít
davida|đa vi đơ
davide|đơ vi đây 
davidge|đa vi
davidian|đơ vi đi ơn
davidian's|đơ vi đi ơn
davidians|đơ vi đi ơn
davidoff|đây vi đóp
davidow|đa vi đâu 
davids|đây vít
davidson|đây vít xừn
davidson's|đây vít xừn
davie|đây vi
davies|đây vi
davignon|đa víc non
davila|đơ vi lơ
davilla|đơ vi lơ
davin|đa vin
davina|đa vi nơ
davinci|đơ vin chi
davino|đa vi nâu 
davio's|đa vi âu
davir|đơ vi
davis|đây vớt
davis|đây vớt
davis'|đây vớt
davis'|đây vớt
davis's|đây vơ xơ
davis's|đây vơ xơ
davison|đây vi xừn
davisson|đa vi xừn
davitt|đơ vít
davlin|đa pồ lin
davoli|đa vâu li
davos|đa vâu
davox|đa vác
davy|đây vi
davydov|đây vi đóp
daw|đo
dawdle|đo đồ
dawdling|đót ling
dawdy|đo đi
dawe|đo
dawes|đo
dawit|đa guýt
dawkins|đo kin
dawley|đo li
dawn|đon
dawn's|đon
dawned|đon
dawning|đo ning
dawns|đon
daws|đo
dawsey|đo xi
dawson|đo xừn
dawson's|đo xừn
dax|đác
dax'|đác
dax's|đác xi
daxor|đác xơ
day|đây 
day's|đây
day-by-day|đây bai  đây 
day-to-day|đết tu đây 
daya|đai  ơ
daya's|đai  ơ
dayan|đây ơn
daybreak|đây bờ rây
daycare|đây ce
daycares|đây ce
dayco|đây câu 
daydream|đây đờ rim
daydreamed|đây đờ rim
daydreaming|đây đờ ri ming
daydreams|đây đờ rim
daye|đây 
dayhoff|đây hóp
dayhuff|đây hớp
dayle|đây
dayley|đây li
daylight|đây lai 
daylights|đây lai 
daylong|đây long
daynard|đên nớt
dayne|đên
days|đây
days'|đây
daytime|đây tham 
daytimes|đây tham
dayton|đây từn
dayton's|đây từn
daytona|đết tâu nơ
daytop|đết táp
daywalt|đây guơ
daze|đây
dazed|đây
dazey|đây di
dazs|đát
dazzle|đa dồ
dazzled|đa dồ
dazzling|đa dơ ling
dazzling|đa dơ ling
dazzo|đa dâu 
dbase|đi bây
dc|đi xi
ddt|đi đi ti
de|đờ
de|đờ
de|đờ
de-excite|đi íc xai 
de-excites|đi íc xai 
dea|đi
deacon|đi cừn
deaconess|đi cơ nớt
deacons|đi cừn
deactivate|đia cờ ti vết
deactivated|đia cờ ti vết tít
dead|đét
dead-end|đe đen
dead-ender|đe đen đơ
dead-ends|đe đen
deadbeat|đét bít
deadbeats|đét bít
deadbolt|đét bôn
deaden|đe đừn
deadening|đe đơ ning
deadening|đe đơ ning
deader|đe đơ
deadhead|đét hét
deadheads|đét hét
deadhorse|đét ho
deadlier|đét li ơ
deadliest|đét li ớt
deadline|đét lai 
deadlines|đét lai 
deadliness|đét li nớt
deadlock|đét lác
deadlocked|đét lác
deadlocks|đét lác
deadly|đét li
deadpan|đét pan
deadweight|đét guết
deadwood|đét gút
deadwyler|đét guai  lơ
deady|đe đi
deaf|đép
deafen|đe phừn
deafening|đe phơ ning
deafening|đe phơ ning
deafness|đép nớt
deahl|điu
deak|đíc
deak's|đíc
deakin|đi kin
deakins|đi kin
deal|điu
deal's|điu
dealba|đia lờ bơ
deale|điu
dealer|đi lơ
dealer's|đi lơ
dealerline|đi lơ lai 
dealers|đi lơ
dealers'|đi lơ
dealership|đi lơ síp
dealership's|đi lơ síp
dealerships|đi lơ síp
dealey|đi li
dealfish|điu phít
dealing|đi ling
dealings|đi ling
dealmaker|điu mây cơ
dealmakers|điu mây cơ
dealmaking|điu mây king
dealmeida|đồ mi đơ
deals|điu
dealt|đeo
dealy|đi li
deam|đim
deamer|đi mơ
dean|đin
dean's|đin
deana|đia  nơ
deanda|đia nờ đơ
deandrade|đừn đờ ra đi
deandrea|đát ri ơ
deandrea|đát ri ơ
deandrea's|đát ri ơ
deandrea's|đát ri ơ
deane|đin
deaner|đi nơ
deangelis|đia nờ dơ lớt
deangelo|đừng ge lâu 
deanna|đia  nơ
deans|đin
dear|đi
dearborn|đi bo
dearden|đi đừn
deardorff|đi đo
deardourff|đi đo
dearer|đi rơ
dearest|đi rớt
dearing|đi ring
dearinger|đi ri ngơ
dearly|đi li
dearman|đi mừn
dearmas|đơ mơ
dearment|đi mừn
dearmon|đơ mừn
dearmond|đơ mừn
dearth|đớt
deary|đi ri
deas|đi
dease|đít
deason|đi dừn
deasy|đi xi
deater|đi tơ
death|đét
death's|đét
deathbed|đét bét
deatherage|đe thơ ri
deatherage|đe thơ ri
deathly|đét li
deaths|đét
deathshot|đét sót
deathwatch|đét guách
deatley|đít li
deaton|đi từn
deatrick|đítríc
deats|đít
deaver|đi vơ
deaver's|đi vơ
deavers|đi vơ
deavila|đơ vi lơ
deb|đép
debacker|đi ba cơ
debacle|đơ ba cồ
debacles|đây ba cồ
debakey|đi bây ki
debarment|đi ba mừn
debarr|đi ba
debarros|đây ba râu
debartolo|đi ba tâu lâu 
debartolo|đi ba tâu lâu 
debartolos|đơ ba tơ lâu
debartolos|đơ ba tơ lâu
debase|đơ bây
debased|đơ bây
debasement|đơ bây xờ mừn
debasing|đi bây xing
debatable|đơ bết tơ bồ
debate|đơ bết
debate's|đơ bết
debated|đơ bết tít
debater|đơ bết tơ
debaters|đơ bết tơ
debates|đơ bết
debating|đơ bết ting
debator|đi bết tơ
debator's|đi bết tơ
debauche|đe bao 
debauchery|đơ bo chơ ri
debaun|đe bao
debbie|đe bi
debbie's|đe bi
debby|đe bi
debeer|đe bi
debeers|đi bi
debelak|đe bi lớc
debell|đi beo
debella|đi be lơ
debellis|đe bi lít
debello|đi be lâu 
debenedetto|đi be nơ đe tâu 
debenedictis|đe bi nơ đíc tít
debenture|đơ ben chơ
debentures|đơ ben chơ
debentures'|đi ben chơ
debernardi|đi bơ na đi
deberry|đi be ri
debes|đíp
debevoise|đe bép gua
debi|đe bi
debian|đe bi ơn
debiase|đi bia  xi
debilitate|đơ bi lơ tết
debilitated|đơ bi lơ tết tít
debilitating|đơ bi lơ tết ting
debility|đơ bi lơ ti
debit|đe bít
debited|đe bi tít
debits|đe bít
deblanc|đi pồ lang
deblasio|đi pồ la xi âu 
deblock|đe pồ lớc
deblois|đe pồ lu
deblum|đơ pồ lum
deblum|đơ pồ lum
debnam|đép nơm
debo|đi bâu 
deboard|đi bo
deboe|đi bâu 
deboer|đi bâu ơ 
deboers|đi bâu ơ
debold|đe bôn
debolt|đe bôn
debona|đi bâu nơ
debonair|đe bơ ne
debonis|đe bơ nít
debono|đi bâu nâu 
debor|đe bo
debora|đép rô
deborah|đe bơ rơ
deborah|đe bơ rơ
deborah's|đe bơ rơ
deborah's|đe bơ rơ
debord|đi bo
deborde|đi bo
debose|đe bớt
debow|đe bâu 
deboy|đi boi  
debra|đép rô
debraudwick|đíp rát guýc
debrecen|đép rét xin
debrief|đíp ríp
debriefed|đíp ríp
debriefing|đíp ri phing
debriefs|đíp ríp
debris|đớp ri
debrosse|đép rốt
debruhl|đép rồ
debruin|đép ru in
debruler|đép ru lơ
debruyn|đép rai 
debruyne|đép rai 
debs|đép
debt|đét
debt's|đét
debtholder|đe thôn đơ
debtholders|đe thôn đơ
debtor|đe tơ
debtor's|đe tơ
debtors|đe tơ
debtors'|đe tơ
debts|đét
debug|đi bớc
debugging|đi bơ ging
debuhr|đe bu
debunk|đi bừng
debunked|đi bừng
debunking|đi bừng king
debunks|đi bừng
debus|đe bít
debusk|đe bớt
debussy|đi bơ xi
debussy|đi bơ xi
debussy's|đi bơ xi
debussy's|đi bơ xi
debut|đây bờ du
debut|đây bờ du
debutante|đép dơ tan
debutantes|đép dơ tan
debuted|đây bờ dút
debuted|đây bờ dút
debuting|đây bờ du ing
debuts|đây bờ du
dec|đéc
dec's|đéc
decade|đe cây
decade|đe cây
decade's|đe cây
decadence|đe cơ đừn
decadent|đe cơ đừn
decadents|đe cơ đừn
decades|đe cây
decades|đe cây
decaf|đi cáp
decaffeinate|đi ca phơ nết
decaffeinated|đi ca phơ nết tít
decaffeinating|đi ca phơ nết ting
decaffeination|đi ca phơ nây sừn
decaire|đi ce
decals|đi can
decamillo|đe cơ mi lâu 
decamillo's|đe cơ mi lâu
decamp|đơ cam
decamped|đi cam
decandia|đi can đi ơ
decant|đơ can
decanting|đơ can ting
decapitate|đi ca pơ tết
decapitated|đi ca pơ tết tít
decapitation|đi ca pi tây sừn
decapitations|đi ca pi tây sừn
decaprio|đi cáp ri âu 
decapua|đi ca puơ 
decarava|đi ca ơ vơ
decarava's|đi ca ơ vơ
decarli|đi ca li
decarlo|đi ca lâu 
decaro|đi ca râu 
decarolis|đe cơ rơ lít
decarolis|đe cơ rơ lít
decastro|đi cát trâu 
decathlete|đi cát lít
decathlon|đi cát lon
decato|đi ca tâu 
decatur|đi kết tơ
decay|đi cây 
decayed|đơ cây
decaying|đi cây ing
decays|đơ cây
decca|đe cơ
decease|đi xít
deceased|đi xít
dececco|đi che câu 
decedent|đe xi đừn
decedent's|đe xi đừn
decedents|đe xi đừn
deceit|đơ xít
deceit|đơ xít
deceitful|đơ xít phồ
deceitful|đơ xít phồ
deceits|đơ xít
deceive|đi xíp
deceived|đi xíp
deceiving|đi xi ving
decelerate|đi xe lơ rết
decelerated|đi xe lơ rết tít
decelerating|đi xe lơ rết ting
deceleration|đi xe lơ rây sừn
decelle|đi xeo
decelles|đe xồ
december|đi xem bơ
december's|đi xem bơ
decency|đi xừn xi
decennial|đơ xe ni ồ
decent|đi xừn
decently|đi xừn tờ li
decentralization|đi xen trơ li dây sừn
decentralize|đi xen trơ lai 
decentralized|đi xen trơ lai 
decentralizing|đi xen trơ lai  ding
deception|đi xép sừn
deceptions|đi xép sừn
deceptive|đi xép típ
deceptively|đi xép ti pồ li
decertification|đi xơ tơ phơ cây sừn
decertified|đi xơ tơ phai 
decertify|đi xơ tơ phai  
decesare|đi che xa ri
decesaris|đi xe xơ rít
dech|đéc
dechant|đây chừn
dechellis|đe ki lít
dechene|đe kin
decherd|đe chớt
dechert|đe cớt
dechine|đe chin
dechine|đe chin
dechristopher|đéc rít ta phơ
decibel|đe xơ beo
decibels|đe xơ bồ
decicco|đi chi câu 
decide|đi xai 
decided|đi xai  đít
decidedly|đi xai  đớt li
decider|đi xai  đơ
decides|đi xai 
deciding|đi xai  đing
deciduous|đi xi duơ
deciliter|đe xơ li tơ
decima|đi chi mơ
decimal|đe xơ mồ
decimals|đe xơ mồ
decimate|đe xơ mết
decimated|đe xơ mết tít
decimating|đe xơ mết ting
decimation|đe xơ mây sừn
decipher|đi xai  phơ
deciphered|đi xai  phớt
deciphering|đơ xai  phơ ring
decision|đi xi dừn
decision's|đi xi dừn
decision-maker|đi xi dừn mây cơ
decision-making|đi xi dừn mây king
decisionmaker|đi xi dừn mây cơ
decisionmaking|đi xi dừn mây king
decisions|đi xi dừn
decisive|đi xai  xíp
decisively|đi xai  xi pồ li
decisiveness|đi xai  xíp nớt
deck|đéc
deckard|đi ca
decked|đéc
decker|đe cơ
decker's|đe cơ
deckert|đe cớt
decking|đe king
deckman|đéc mừn
decks|đéc
declaim|đíc cồ lêm
declaimed|đíc cồ lêm
declarant|đíc cồ le rừn
declaration|đéc cồ lơ rây sừn
declarations|đéc cồ lơ rây sừn
declaratory|đíc cồ le rơ to ri
declare|đíc cồ le
declared|đíc cồ le
declares|đíc cồ le
declaring|đíc cồ le ring
declassified|đíc cồ la xơ phai 
declassify|đíc cồ la xơ phai  
declension|đắc len sừn
declensions|đắc len sừn
declerck|đắc lớc
declerck's|đắc lớc
declercq|đắc lớc
declercq's|đắc lớc
declerk|đắc lớc
declerk's|đắc lớc
declerque|đắc lớc
declerque's|đắc lớc
decline|đíc cồ lai 
declined|đíc cồ lai 
decliner|đíc cồ lai  nơ
decliners|đíc cồ lai  nơ
declines|đíc cồ lai 
declining|đíc cồ lai  ning
declue|đéc cồ lu
deco|đe câu 
decode|đi câu
decoded|đi câu đớt
decoder|đi câu đơ
decoders|đi câu đơ
decodes|đi câu
decoding|đi câu đing
decola|đi câu lơ
decom|đe cam
decommission|đi cơ mi sừn
decommissioned|đi cơ mi sừn
decommissioning|đi cơ mi sơ ning
decompose|đi cơm pâu
decomposed|đi cơm pâu
decomposes|đi cơm pâu di
decomposing|đi cơm pâu ding
decomposition|đi cơm pâu di sừn
decomposition|đi cơm pâu di sừn
decompression|đi cơm pờ re sừn
deconcini|đi cừn xi ni
decongestant|đi cừn dét từn
decongestant|đi cừn dét từn
decongestants|đi cừn dét từn
decongestants|đi cừn dét từn
deconstruct|đi cừn xờ trớc
deconstruction|đi cừn xờ trớc sừn
decontaminate|đi cừn ta mơ nết
decontaminated|đi cừn ta mơ nết tít
decontamination|đi cừn ta mơ nây sừn
decontrol|đi cừn trâu
decontrolled|đi cừn trôn
decook|đe cúc
decor|đi co
decor|đi co
decorate|đe cơ rết
decorated|đe cơ rết tít
decorating|đe cơ rết ting
decoration|đe cơ rây sừn
decorations|đe cơ rây sừn
decorative|đéc rơ típ
decorator|đe cơ rết tơ
decorators|đe cơ rết tơ
decordova|đi co đâu vơ
decorous|đe cơ rớt
decorte|đi co ti
decorum|đi co rơm
decosta|đi câu xờ tơ
decoste|đi câu xờ ti
decoster|đe cớt tơ
decoteau|đe cơ tâu 
decou|đi cu
decouple|đi cơ pồ
decoupling|đi cơ pồ ling
decourcy|đe cu ki
decoursey|đe co xi
decoy|đơ coi  
decoys|đi coi 
decrane|đắc rên
decrease|đíc rít
decrease|đíc rít
decreased|đíc rít
decreased|đíc rít
decreases|đíc ri xơ
decreases|đíc ri xơ
decreases|đíc ri xơ
decreasing|đíc ri xing
decreasing|đíc ri xing
decree|đíc ri
decreed|đíc rít
decrees|đíc ri
decrepit|đắc re pít
decrepitly|đắc re pít li
decrescenzo|đíc rét chen dâu 
decried|đíc rai 
decries|đíc rai 
decriminalization|đíc ri mơ nơ lơ dây sừn
decriminalize|đíc ri mơ nơ lai 
decriminalizing|đíc ri mơ nơ lai  ding
decristofaro|đíc rít tâu pha râu 
decry|đíc rai  
decrying|đíc rai  ing
decter|đéc tơ
decuir|đe ki
decurtis|đi cơ tớt
decworld|đéc guơ
dede|đít
dedeaux|đi đâu 
dedecker|đe đi cơ
dederichs|đét ríc
dederick|đe đơ ríc
dedeurwaerder|đơ đơ gua đơ
dedham|đe đơm
dedic|đe đíc
dedicate|đe đơ kết
dedicated|đe đơ kết tớt
dedicates|đe đi kết
dedicating|đe đi kết ting
dedication|đe đơ cây sừn
dedios|đây đi âu
dedman|đét mừn
dedmon|đét mừn
dedo|đây đâu 
dedominicis|đây đâu mi ni xít
dedrick|đét ríc
deduce|đi đút
deduced|đi đút
deduct|đi đắc
deducted|đi đắc tít
deductibility|đi đắc tơ bi lơ ti
deductible|đi đắc tơ bồ
deductibles|đi đắc tơ bồ
deducting|đi đắc ting
deduction|đi đắc sừn
deductions|đi đắc sừn
deductive|đi đắc tớp
deductively|đi đắc tơ pồ li
deducts|đi đắc
dee|đi
dee's|đi
deeb|đíp
deed|đít
deeded|đi đớt
deeded|đi đớt
deedee|đi đi
deedrick|đít ríc
deedrick's|đít ríc
deeds|đít
deedy|đi đi
deeg|đíc
deegan|đi gừn
deehan|đi han
deehan|đi han
deel|điu
deeley|đi li
deely|đi li
deem|đim
deemed|đim
deemer|đi mơ
deemphasize|đi em phơ xai 
deemphasizing|đi em phơ xai  ding
deems|đim
deen|đin
deener|đi nơ
deeney|đi ni
deep|đíp
deepak|đi pác
deepen|đi pừn
deepened|đi pừn
deepening|đi pơ ning
deepening|đi pơ ning
deepens|đi pừn
deeper|đi pơ
deepest|đi pớt
deeply|đi pồ li
deepwater|đíp guo tơ
deer|đi
deerborne|đi bo
deere|đi
deere's|đi
deerfield|đi phiu
deering|đi ring
deerman|đi mừn
deerskin|đi xờ kin
deery|đi ri
dees|đi
deese|đi
deet|đít
deeter|đi tơ
deets|đít
deetz|đít
defabio|đi pha bi âu 
deface|đi phây
defaced|đi phây
defacing|đi phây xing
defalco|đi phan câu 
defamation|đe phơ mây sừn
defamatory|đi pha mơ to ri
defame|đi phêm
defamed|đi phêm
defarges|đi pha di
default|đi phon
defaulted|đi phon tít
defaulter|đi phon tơ
defaulters|đi phon tơ
defaulting|đi phon ting
defaults|đi phon
defazio|đi pha di âu 
defazio|đi pha di âu 
defcon|đép can
defeasance|đi phi dừn
defeat|đi phít
defeated|đi phi tớt
defeated|đi phi tớt
defeating|đi phi ting
defeatism|đi phi ti dơm
defeatist|đi phi tít
defeats|đi phít
defect|đi phéc
defect|đi phéc
defected|đi phéc tít
defecting|đi phéc ting
defection|đi phéc sừn
defections|đi phéc sừn
defective|đi phéc típ
defector|đi phéc tơ
defectors|đi phéc tơ
defects|đi phéc
defects|đi phéc
defee|đe phi
defelice|đi phe lít
defenbaugh|đe phin bao  
defence|đi phen
defend|đi phen
defendant|đi phen đừn
defendant's|đi phen đừn
defendants|đi phen đừn
defendants'|đi phen đừn
defended|đi phen đớt
defended|đi phen đớt
defender|đi phen đơ
defender's|đi phen đơ
defenders|đi phen đơ
defending|đi phen đing
defends|đi phen
defenestration|đi phe nét trây sừn
defense|đi phen
defense's|đi phen xi
defenseless|đi phen xờ lớt
defenses|đi phen xơ
defenses|đi phen xơ
defensible|đi phen xơ bồ
defensive|đi phen xíp
defensively|đi phen xi pồ li
defensiveness|đi phen xíp nớt
defeo|đi phi âu 
defer|đi phơ
deference|đe phơ rừn
deference|đe phơ rừn
deferential|đe phơ ren chồ
deferential|đe phơ ren chồ
deferment|đi phơ mừn
deferments|đi phơ mừn
deferral|đi phơ rồ
deferrals|đi phơ rồ
deferred|đi phớt
deferring|đi phơ ring
defers|đi phơ
defex|đe phéc
deffenbaugh|đe phin bao  
deffeyes|đe phai 
defiance|đi phai  ơn
defiant|đi phai  ơn
defiantly|đi phai  ơn tờ li
defibaugh|đe phi bo
defibrillator|đi phíp ri lết tơ
defibrillators|đi phíp ri lết tơ
deficiencies|đi phi sừn xi
deficiency|đi phi sừn xi
deficient|đi phi sừn
deficit|đe phơ xớt
deficit's|đe phơ xớt
deficits|đe phi xít
defied|đi phai 
defies|đi phai 
defilippis|đe phi li pít
defilippis|đe phi li pít
defilippo|đi phi li pâu 
defina|đi phi nơ
definable|đi phai  nơ bồ
define|đi phai 
defined|đi phai 
defines|đi phai 
defining|đi phai  ning
definite|đe phơ nớt
definitely|đe phơ nớt li
definition|đe phơ ni sừn
definitions|đe phơ ni sừn
definitive|đi phi ni típ
definitively|đi phi ni ti pồ li
defino|đi phi nâu 
defiore|đi phi o ri
deflate|đi pồ lết
deflated|đi pồ lết tít
deflating|đi pồ lết ting
deflation|đi pồ lây sừn
deflationary|đi pồ lây sơ ne ri
deflator|đi pồ lết tơ
deflect|đi pồ léc
deflected|đi pồ léc tít
deflecting|đi pồ léc ting
deflection|đi pồ léc sừn
deflector|đi pồ léc tơ
deflectors|đi pồ léc tơ
deflects|đi pồ léc
defleur|đi pồ lơ
defoe|đi phâu 
defoe's|đi phâu
defoliant|đi phâu li ơn
defoliants|đi phâu li ơn
defollet|đơ pho lớt
defollets|đơ pho lớt
defoor|đe phu
deford|đe phớt
deford's|đe phớt
defore|đi pho
deforest|đi pho rớt
deforestation|đi pho rít tây sừn
deforge|đe phớc
deform|đi pho
deformation|đi pho mây sừn
deformed|đi pho
deformities|đi pho mơ ti
deformity|đi pho mơ ti
deforrest|đây pho rít
deforrest|đây pho rít
defrain|đíp rên
defrance|đíp rừn
defrancesco|đíp ran chét câu 
defrancisco|đíp ran chít câu 
defranco|đíp ran câu 
defrank|đép rừng
defrates|đe phơ rết
defraud|đíp rót
defrauded|đíp ro đít
defrauding|đíp ro đing
defray|đíp rây 
defrays|đíp rây
defrees|đíp ri
defreese|đép rít
defreitas|đép rai  tơ
defries|đíp ri
defrost|đíp rót
defrosting|đíp rót ting
deft|đép
defterios|đép te ri âu
deftly|đép tờ li
defunct|đi phừng
defund|đi phừn
defunding|đi phừn đing
defusco|đi phút câu 
defuse|đíp du
defused|đíp du
defused|đíp du
defusing|đíp du ding
defy|đi phai  
defying|đi phai  ing
degaetano|đi ga e ta nâu 
degan|đi gừn
degarmo|đi ga mâu 
degas|đây gớt
degas|đây gớt
degaulle|đơ gan
degaulle's|đơ gan
degen|đe gừn
degener|đe gi nơ
degeneracy|đi de nơ rơ xi
degenerate|đi de nơ rớt
degenerate|đi de nơ rớt
degenerated|đi de nơ rết tít
degenerates|đi de nơ rớt
degenerating|đi de nơ rết ting
degeneration|đi de nơ rây sừn
degenerative|đi de nơ rơ típ
